Company Name,Country,URL,Email,People,Use,Description,Funding
DroneScan ,United Kingdom,http://dronescan.co/,admin@dronescan.co,5,"Drones, Data, Processing",The DroneScan system is designed to capture and process data in warehouses. DroneScan is a software development company with staff and partners in various countries around the world. DroneScan believes that more can be done in partnership than in isolation and it is for this reason that we have pulled in best of breed partners to provide the elements of the system that they are good at.,10000000
Hubvery ,United States,https://www.hubvery.com/,request@hubvery.com,4,"Drones, Fast delivery","Smart and on-demand delivery to and from wherever you are. At HUBVERY, Deep Learning finds you the shortest delivery route and an intelligent network of delivery drones makes sure it’s the fastest. HUBVERY is ""Peer-to-Peer Ridesharing for your Supply Chain.""",10000000
Zipline,United States,http://flyzipline.com/,info@flyzipline.com,7,"Drones, Logistics, Medicine, Delivery","Zipline is a California-based automated logistics company that designs, manufactures, and operates drones to deliver vital medical products. Zipline's mission is to provide every human on Earth with instant access to vital medical supplies.",10000000
Skyways,United States,skyways.com,info@skyways.com,2,"Aerospace, Drone Management, Drones, Software, Transportation",Skyways is creating a new form of transportation to advance our civilization.,21451
FlyNex,Germany,www.flynex.io,info@flynex.de,4,"Drones, SaaS, Software",FlyNex empowers companies to operate and utilize drones for the most effective industrial data applications.,21722
Nearthlab,South Korea,www.nearthlab.com/,contact@nearthlab.com,2,"Artificial Intelligence, Autonomous Vehicles, Drones, Image Recognition, Information Services, Information Technology, Machine Learning",AI-powered Automated Industrial Inspection Solution Using Autonomous Drones,21769
Nileworks,Japan,www.nileworks.co.jp/,yamada@nileworks.co.jp,1,"Drones, Field Support",Nileworks is a multicopter that automatically recognizes the shape of the field.,21799
live,Australia,unleashlive.com,getstarted@unleashlive.com,2,"Artificial Intelligence, Drone Management, Drones, Enterprise Software, Machine Learning, Software, Video Streaming","Unleash live is a secure cloud platform which uses AI on live video streams from a number of sources including cameras, drones, sat & IoT.",2197
DroneUp,United States,droneup.com,info@droneup.com,1,"Drone Management, Drones, Information Technology, Internet, Location Based Services, Mapping Services, Public Safety",DroneUp is a comprehensive platform that mobilizes and supports sUAS teams and missions on a global scale.,22077
Valqari,United States,www.valqari.com/,Office@valqari.com,3,"Delivery, Drones, Logistics, Robotics, Security, Software",Valqari is a software company offering autonomous logistics solutions for drone and logistic problems.,22362
Technologies,United States,www.anratechnologies.com,sales@anratechnologies.com,1,"Aerospace, Drones, Mobile Apps","ANRA Technologies provide operators with an off the shelf, field proven DroneOSS operational platform.",22549
PreNav,United States,www.prenav.com/,info@prenav.com,3,"Aerospace, Drones, Embedded Systems, Navigation, Robotics, Telecommunications",PreNav develops precision drone system for industrial inspection.,22664
Labs,United States,digitaldreamlabs.com,jacob@digitaldreamlabs.com,4,"EdTech, Education",Digital Dream Labs provides hands-on educational technology for children ages 4 to 9.,23604
Group,United States,www.evatran.com,info@evatran.com,1,"Automotive, Drones, Electric Vehicle, Energy, Manufacturing, Renewable Energy, Robotics, Transportation, Wireless",Plugless Powerв„ў by Evatran is the worldвЂ™s first hands-free proximity charging system for electric vehicles.,23894
Prodrone,Japan,www.prodrone.jp/en/,info@prodrone.jp,3,"Drone Management, Drones, Robotics, Video",Prodrone is an industrial and commercial drone system manufacturer and retailer.,24198
Agribotix,United States,agribotix.com/,info@agribotix.com,1,"Agriculture, Analytics, Drones, Geospatial, Robotics, Software",Agribotix is a drone-enabled software company that provides advanced imaging and analysis for precision agriculture.,24479
Ltd,India,www.sproboticworks.com/,info@sproboticworks.com,2,"Education, Internet of Things, Machine Learning, Robotics","A platform to learn, build and showcase Robotics, IoT, Image Processing, Virtual Reality (VR) and other next generation skills",24574
Vayu,United States,www.vayu.us/,info@vayu.us,1,"Aerospace, Drones, Innovation Management, Logistics, mHealth",Aerial Solutions: Unmanned Aerial Vehicle delivery of med. supplies & vital goods over rough terrain & areas effected by natural disasters,24687
GreenSight,United States,greensightag.com,info@greensightag.com,2,"Agriculture, Drones, Enterprise, Enterprise Software, Hardware, Machine Learning, Robotics, Sustainability, Water","GreenSight is building the scaleable, enterprise platform for low altitude aerial intelligence.",24746
Robotics,Hong Kong,www.insightrobotics.com,info@insightrobotics.com,2,"Agriculture, AgTech, Artificial Intelligence, Drones, Forestry, Internet of Things, Robotics",Insight Robotics is to enable active risk management of the world's assets by generating and making sense of data.,24882
Skyfront,United States,www.skyfront.com/,info@skyfront.com,2,"Aerospace, Drones, Robotics",SkyFront builds long-range unmanned aerial vehicles for surveillance and commercial applications.,24981
Skycope,Canada,www.skycope.com,info@skycope.com,0,"Aerospace, Drones, Security",Skycope provides anti-drone solution to protect people and property against threats posed by drones in the sky.,2501
Vermeer,United States,getvermeer.com,brian@getvermeer.com,1,"B2B, Drone Management, Drones, Service Industry, Software",AR enabled drone photo & video on demand,2512
Robotics,Russian Federation,www.uvl.io/,info@uvl.io,1,"Drone Management, Drones",UVL Robotics is a high-tech company engaged in the development and production of multi-rotor UAVs with vertical takeoff.,25396
AgEagle,United States,ageagle.com/,nicolef@ageagle.com,1,"Agriculture, Drones, Farming, Robotics",AgEagle is a technologically advanced aerial imagery-based data collection and analytics solutions.,25539
Life,United States,unmanned.life/,talktous@unmanned.life,2,"Artificial Intelligence, Autonomous Vehicles, Drones, Industrial Automation, Telecommunications",Unmanned life enables industries to be fully autonomous through its full stack AI for Autonomy software platform,25602
CIVDRONE,Israel,www.civdrone.com/,liav@civdrone.com,2,"Civil Engineering, Commercial, Drones",Civdrone is a construction tech startup aiming to revolutionize land surveying.,25831
GoodVision,United Kingdom,www.goodvisionlive.com,info@goodvisionlive.com,2,"Analytics, Artificial Intelligence, Big Data, Computer Vision, Data Visualization, Machine Learning, SaaS, Smart Cities, Transportation",Advanced Traffic Analytics Platform via Artificial Intelligence,26073
Aero,United States,vergeaero.com/,вЂ”,2,"Aerospace, Software","A Philadelphia-based team of electrical, computer, software, systems, and aerospace engineers.",86019
