,Company Name,Use,Country,Description,Funding,Url,Email,Founders
0,Skyways," Aerospace, Drone Management, Drones, Software, Transportation",United States,Skyways is creating a new form of transportation to advance our civilization.,"21,451", skyways.com ,info@skyways.com,2
1,FlyNex," Drones, SaaS, Software",Germany,FlyNex empowers companies to operate and utilize drones for the most effective industrial data applications.,"21,722", www.flynex.io ,info@flynex.de,4
2,Nearthlab," Artificial Intelligence, Autonomous Vehicles, Drones, Image Recognition, Information Services, Information Technology, Machine Learning",South Korea,AI-powered Automated Industrial Inspection Solution Using Autonomous Drones,"21,769", www.nearthlab.com/ ,contact@nearthlab.com,2
3,Nileworks," Drones, Field Support",Japan,Nileworks is a multicopter that automatically recognizes the shape of the field.,"21,799", www.nileworks.co.jp/ ,yamada@nileworks.co.jp,1
4,live," Artificial Intelligence, Drone Management, Drones, Enterprise Software, Machine Learning, Software, Video Streaming",Australia,"Unleash live is a secure cloud platform which uses AI on live video streams from a number of sources including cameras, drones, sat &  IoT.","21,970", unleashlive.com ,getstarted@unleashlive.com,2
5,DroneUp," Drone Management, Drones, Information Technology, Internet, Location Based Services, Mapping Services, Public Safety",United States,DroneUp is a comprehensive platform that mobilizes and supports sUAS teams and missions on a global scale.,"22,077", droneup.com ,info@droneup.com,1
6,Valqari," Delivery, Drones, Logistics, Robotics, Security, Software",United States,Valqari is a software company offering autonomous logistics solutions for drone and logistic problems.,"22,362", www.valqari.com/ ,Office@valqari.com,3
7,Technologies," Aerospace, Drones, Mobile Apps",United States,"ANRA Technologies provide operators with an off the shelf, field proven DroneOSS operational platform.","22,549", www.anratechnologies.com ,sales@anratechnologies.com,1
8,PreNav," Aerospace, Drones, Embedded Systems, Navigation, Robotics, Telecommunications",United States,PreNav develops precision drone system for industrial inspection.,"22,664", www.prenav.com/ ,info@prenav.com,3
9,Labs," EdTech, Education",United States,Digital Dream Labs provides hands-on educational technology for children ages 4 to 9.,"23,604", digitaldreamlabs.com ,jacob@digitaldreamlabs.com,4
10,Group," Automotive, Drones, Electric Vehicle, Energy, Manufacturing, Renewable Energy, Robotics, Transportation, Wireless",United States,Plugless Power™ by Evatran is the world’s first hands-free proximity charging system for electric vehicles.,"23,894", www.evatran.com ,info@evatran.com,1
11,Prodrone," Drone Management, Drones, Robotics, Video",Japan,Prodrone is an industrial and commercial drone system manufacturer and retailer.,"24,198", www.prodrone.jp/en/ ,info@prodrone.jp,3
12,Agribotix," Agriculture, Analytics, Drones, Geospatial, Robotics, Software",United States,Agribotix is a drone-enabled software company that provides advanced imaging and analysis for precision agriculture.,"24,479", agribotix.com/ ,info@agribotix.com,1
13,Ltd," Education, Internet of Things, Machine Learning, Robotics",India,"A platform to learn, build and showcase Robotics, IoT, Image Processing, Virtual Reality (VR) and other next generation skills","24,574", www.sproboticworks.com/ ,info@sproboticworks.com,2
14,Vayu," Aerospace, Drones, Innovation Management, Logistics, mHealth",United States,Aerial Solutions: Unmanned Aerial Vehicle delivery of med. supplies & vital goods over rough terrain & areas effected by natural disasters,"24,687", www.vayu.us/ ,info@vayu.us,1
15,GreenSight," Agriculture, Drones, Enterprise, Enterprise Software, Hardware, Machine Learning, Robotics, Sustainability, Water",United States,"GreenSight is building the scaleable, enterprise platform for low altitude aerial intelligence.","24,746", greensightag.com ,info@greensightag.com,2
16,Robotics," Agriculture, AgTech, Artificial Intelligence, Drones, Forestry, Internet of Things, Robotics",Hong Kong,Insight Robotics is to enable active risk management of the world's assets by generating and making sense of data.,"24,882", www.insightrobotics.com ,info@insightrobotics.com,2
17,Skyfront," Aerospace, Drones, Robotics",United States,SkyFront builds long-range unmanned aerial vehicles for surveillance and commercial applications.,"24,981", www.skyfront.com/ ,info@skyfront.com,2
18,Skycope," Aerospace, Drones, Security",Canada,Skycope provides anti-drone solution to protect people and property against threats posed by drones in the sky.,"25,010", www.skycope.com ,info@skycope.com,—
19,Vermeer," B2B, Drone Management, Drones, Service Industry, Software",United States,AR enabled drone photo & video on demand,"25,120", getvermeer.com ,brian@getvermeer.com,1
20,Robotics," Drone Management, Drones",Russian Federation,UVL Robotics is a high-tech company engaged in the development and production of multi-rotor UAVs with vertical takeoff.,"25,396", www.uvl.io/ ,info@uvl.io,1
21,AgEagle," Agriculture, Drones, Farming, Robotics",United States,AgEagle is a technologically advanced aerial imagery-based data collection and analytics solutions.,"25,539", ageagle.com/ ,nicolef@ageagle.com,1
