,Company Name,Use,Country,Description,Url,Email,Founders,Found Date,t1,t2,t3,t4,t5,t6,t7
0,Group," Health Care, Information Services, Information Technology, IT Infrastructure, Social Media, Training",Kenya,"Seven Seas Technologies (SST) Group is one of Africa's fastest growing, diversified ICT businesses.", www.sstgroup.com/ ,—,1,1999,—,—,—,—,—,—,—
1,Koru," Education, Information Technology, Training",United States,Koru is a developer of a predictive recruitment processing platform used to transform the process of talent recruitment., joinkoru.com ,info@joinkoru.com,2,"Sep 1, 2013","Dec 20, 2018",—,—,—,—,—,—
2,EasyVista," Enterprise Applications, Enterprise Software, Information Technology, IT Management, Mobile Apps, SaaS, Software",United States,EasyVista is reinventing service management for the mobile user — making it easy to deliver and easy to use., www.easyvista.com ,—,2,1988,"Nov 4, 2005",—,—,—,—,—,—
3,Bakpax," Artificial Intelligence, Big Data, Education, Hardware, Information Technology",United States,Bakpax uses AI to read handwriting and grade assignments., www.bakpax.com ,support@bakpax.com,3,Oct 2017,—,—,—,—,—,—,—
4,Dailyhunt," Information Technology, Language Learning, Mobile, News, Operating Systems, Social Media, Social News, Software",India,DailyHunt develops mobile application software., www.dailyhunt.in/ ,media@dailyhunt.in,1,2009,—,—,—,—,—,—,—
5,Wizenoze," Artificial Intelligence, EdTech, Information Technology, Machine Learning, Search Engine, Software",The Netherlands,At the heart of the WizeNoze platform is a set of powerful classification algorithms., wizenoze.com/ ,diane@wizenoze.com,1,2013,—,—,—,—,—,—,—
6,Geekie," E-Learning, EdTech, Education, Information Technology, Software",Brazil,Geekie is a web-based platform that provides personalized educational content using adaptive learning technology., www.geekie.com.br ,contato@geekie.com.br,2,2011,—,—,—,—,—,—,—
7,ArcheMedX," E-Learning, Education, Health Care, Information Technology, Medical",United States,ArcheMedX is a healthcare informatics and e-learning technology company that is transforming online learning in medicine through an agile., www.archemedx.com/ ,info@archemedx.com,2,Jan 2013,—,—,—,—,—,—,—
8,DigiExam," B2B, EdTech, Education, Information Technology, Internet",Sweden,Making digital examinations available for everyone, www.digiexam.com ,viktor.lofgren@digiexam.se,2,"Nov 1, 2011",—,—,—,—,—,—,—
9,Immerse," Corporate Training, Developer Platform, Information Technology, Software, Training, Virtual Reality",United Kingdom,Our open and scalable VR platform – Immerse VEP – helps companies create and roll out VR training, www.immerse.io ,info@immerse.io,3,"Sep 6, 2005",—,—,—,—,—,—,—
10,Integem," Artificial Intelligence, Augmented Reality, Cloud Computing, EdTech, Education, Information Technology",United States,"Holographic AR builds on AI and cloud technology, enabling you to vividly show off your ideas, designs, and products from any device.", www.integem.com ,support@integem.com,1,"Jul 15, 2016",—,—,—,—,—,—,—
11,Gebeya," EdTech, Information Technology, Marketplace, Software, Software Engineering, Training",Ethiopia,Gebeya is an Ed Tech and online software outsourcing Marketplace company geared towards the development of Africa’s technological scene., www.gebeya.com ,info@gebeya.com,2,2016,—,—,—,—,—,—,—
12,HyperQube," Cyber Security, Information Technology, Training",United States,HyperQube is a cyber range as a service offering that enables enterprises to quickly and easily build an exact copy of IT infrastructure., hyperqube.io/ ,—,1,"Sep 1, 2017",—,—,—,—,—,—,—
13,Solutions," Cloud Data Services, Information Technology, Mobile, Software, UX Design",United States,"RapidValue Solutions, Inc is a tech company specializing in cloud engineering, enterprise mobility, and omni-channel services.", www.rapidvaluesolutions.com ,contactus@rapidvaluesolutions.com,3,"Oct 1, 2008","Jun 30, 2020",—,—,—,—,—,—
